local_noise,link_noise,before_cgcs,before_link_consistency,before_global_stability,after_cgcs,after_link_consistency,after_global_stability,projection_gain,projection_rate
0.0,0.09999999999999999,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.09999999999999999,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.09999999999999999,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.09999999999999999,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.09999999999999999,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.09999999999999999,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.09999999999999999,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.09999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.15,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.15,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.15,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.15,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.15,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.15,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.4131944444444445,0.7083333333333334,0.5833333333333334,1.0,1.0,1.0,0.5868055555555556,0.2916666666666667
0.0,0.15,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.15,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.19999999999999998,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.19999999999999998,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.19999999999999998,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.19999999999999998,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.19999999999999998,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.19999999999999998,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.19999999999999998,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.19999999999999998,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.19999999999999998,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.19999999999999998,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.19999999999999998,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.19999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.19999999999999998,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.19999999999999998,0.6493055555555556,0.7083333333333334,0.9166666666666666,1.0,1.0,1.0,0.3506944444444444,0.2916666666666667
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.24999999999999997,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.24999999999999997,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.24999999999999997,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.24999999999999997,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.24999999999999997,0.7083333333333334,0.7083333333333334,1.0,1.0,1.0,1.0,0.29166666666666663,0.2916666666666667
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.7083333333333334,0.7083333333333334,1.0,1.0,1.0,1.0,0.29166666666666663,0.2916666666666667
0.0,0.24999999999999997,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.24999999999999997,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.24999999999999997,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25
0.0,0.24999999999999997,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.24999999999999997,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.24999999999999997,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.24999999999999997,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.24999999999999997,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.3,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.3,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.3,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.3,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.3,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.25
0.0,0.3,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.3,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.3,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.3,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.3,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.3,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.20833333333333337,0.20833333333333334
0.0,0.3,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.3,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.3,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.3,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.35,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.16666666666666663,0.16666666666666666
0.0,0.35,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
